feature,importance
has_hex_encoding,748.383544921875
content_length,218.9876251220703
url_length,215.8263702392578
content-type,200.52685546875
contains_sql_injection,188.95655822753906
URL,179.80825805664062
path_depth,137.79136657714844
param_count,134.2263946533203
has_base64,132.30271911621094
contains_special_chars,128.38992309570312
query_length,128.0426025390625
content,119.38409423828125
Accept,75.45629119873047
content_special_chars,69.95368957519531
contains_command_injection,65.02735900878906
content_numbers,43.44027328491211
contains_xss,23.493745803833008
cookie,1.8913826942443848
User-Agent,0.0
Pragma,0.0
Cache-Control,0.0
Cookie,0.0
Length,0.0
connection,0.0
language,0.0
Accept-charset,0.0
Accept-encoding,0.0
contains_path_traversal,0.0
method_GET,0.0
method_POST,0.0
method_PUT,0.0
content_type_application,0.0
content_type_other,0.0
is_mobile,0.0
is_bot,0.0
browser_other,0.0
